pci,station_id,station_name,station_label,sector_index,antenna_type,is_omnidirectional,tx_x_initial_m,tx_y_initial_m,tx_z_initial_m,is_research_target
699,2,tx-2,图书馆-东北角,1,three_sector,0,-62.7873,-48.317,2009.28,1
700,2,tx-2,图书馆-东北角,2,three_sector,0,-62.7873,-48.317,2009.28,1
701,2,tx-2,图书馆-东北角,3,three_sector,0,-62.7873,-48.317,2009.28,1
558,3,tx-3,农学院,1,three_sector,0,220.957,-22.6014,2013.2,1
559,3,tx-3,农学院,2,three_sector,0,220.957,-22.6014,2013.2,1
560,3,tx-3,农学院,3,three_sector,0,220.957,-22.6014,2013.2,1
252,6,tx-6,桦苑-西,1,three_sector,0,-417.217,-420.524,1994.57,1
253,6,tx-6,桦苑-西,2,three_sector,0,-417.217,-420.524,1994.57,1
254,6,tx-6,桦苑-西,3,three_sector,0,-417.217,-420.524,1994.57,1
6,7,tx-7,图书馆-西南角,1,three_sector,0,-380.963,-177.432,1990.21,1
7,7,tx-7,图书馆-西南角,2,three_sector,0,-380.963,-177.432,1990.21,1
8,7,tx-7,图书馆-西南角,3,three_sector,0,-380.963,-177.432,1990.21,1
741,9,tx-9,诸子百家-西,1,three_sector,0,-731.812,76.9981,1989.89,1
742,9,tx-9,诸子百家-西,2,three_sector,0,-731.812,76.9981,1989.89,1
743,9,tx-9,诸子百家-西,3,three_sector,0,-731.812,76.9981,1989.89,1
489,10,tx-10,梓苑食堂后面,1,three_sector,0,-972.554,342.474,1987.55,1
490,10,tx-10,梓苑食堂后面,2,three_sector,0,-972.554,342.474,1987.55,1
491,10,tx-10,梓苑食堂后面,3,three_sector,0,-972.554,342.474,1987.55,1
510,11,tx-11,校史馆,1,three_sector,0,-382.4,627.376,1986.34,1
511,11,tx-11,校史馆,2,three_sector,0,-382.4,627.376,1986.34,1
512,11,tx-11,校史馆,3,three_sector,0,-382.4,627.376,1986.34,1
555,12,tx-12,明远楼,1,three_sector,0,85.5687,503.753,2020.15,1
556,12,tx-12,明远楼,2,three_sector,0,85.5687,503.753,2020.15,1
557,12,tx-12,明远楼,3,three_sector,0,85.5687,503.753,2020.15,1
219,13,tx-13,国重大楼,1,three_sector,0,436.867,428.861,2025.31,1
220,13,tx-13,国重大楼,2,three_sector,0,436.867,428.861,2025.31,1
221,13,tx-13,国重大楼,3,three_sector,0,436.867,428.861,2025.31,1
477,14,tx-14,校医院,1,three_sector,0,916.187,213.785,2010.49,1
478,14,tx-14,校医院,2,three_sector,0,916.187,213.785,2010.49,1
479,14,tx-14,校医院,3,three_sector,0,916.187,213.785,2010.49,1
531,15,tx-15,楸苑7宿舍-西,1,three_sector,0,856.239,-122.77,2019.91,1
532,15,tx-15,楸苑7宿舍-西,2,three_sector,0,856.239,-122.77,2019.91,1
533,15,tx-15,楸苑7宿舍-西,3,three_sector,0,856.239,-122.77,2019.91,1
237,16,tx-16,楸苑,1,three_sector,0,540.712,-230.001,2005.25,1
238,16,tx-16,楸苑,2,three_sector,0,540.712,-230.001,2005.25,1
239,16,tx-16,楸苑,3,three_sector,0,540.712,-230.001,2005.25,1
495,18,tx-18,食堂-西,1,three_sector,0,253.779,-328.187,2009.19,1
496,18,tx-18,食堂-西,2,three_sector,0,253.779,-328.187,2009.19,1
497,18,tx-18,食堂-西,3,three_sector,0,253.779,-328.187,2009.19,1
792,20,tx-20,软件学院,1,three_sector,0,512.655,144.529,2028.89,1
793,20,tx-20,软件学院,2,three_sector,0,512.655,144.529,2028.89,1
794,20,tx-20,软件学院,3,three_sector,0,512.655,144.529,2028.89,1
800,22,tx-22,化工学院-西,1,omnidirectional,1,688.004,250.823,2029.42,1
663,23,tx-23,梓苑食堂-南,1,three_sector,0,-708.457,420.289,1989.54,1
664,23,tx-23,梓苑食堂-南,2,three_sector,0,-708.457,420.289,1989.54,1
665,23,tx-23,梓苑食堂-南,3,three_sector,0,-708.457,420.289,1989.54,1
492,25,tx-25,西南角,1,three_sector,0,-405.485,-944.095,1986.02,1
493,25,tx-25,西南角,2,three_sector,0,-405.485,-944.095,1986.02,1
494,25,tx-25,西南角,3,three_sector,0,-405.485,-944.095,1986.02,1
37,26,tx-26,楠苑-后大路,1,three_sector,0,-601.935,-426.487,1982.05,1
38,26,tx-26,楠苑-后大路,2,three_sector,0,-601.935,-426.487,1982.05,1
180,26,tx-26,楠苑-后大路,3,three_sector,0,-601.935,-426.487,1982.05,1
705,27,tx-27,学校西北角,1,three_sector,0,-1284.87,548.908,1987.37,1
706,27,tx-27,学校西北角,2,three_sector,0,-1284.87,548.908,1987.37,1
707,27,tx-27,学校西北角,3,three_sector,0,-1284.87,548.908,1987.37,1
612,30,tx-30,北门地铁马路-西,1,three_sector,0,-833.997,875.923,1976.43,1
613,30,tx-30,北门地铁马路-西,2,three_sector,0,-833.997,875.923,1976.43,1
614,30,tx-30,北门地铁马路-西,3,three_sector,0,-833.997,875.923,1976.43,1
759,31,tx-31,北门西侧马路-对面,1,three_sector,0,-417.807,1049.26,1978.78,1
760,31,tx-31,北门西侧马路-对面,2,three_sector,0,-417.807,1049.26,1978.78,1
761,31,tx-31,北门西侧马路-对面,3,three_sector,0,-417.807,1049.26,1978.78,1
744,33,tx-33,北门东侧马路-西,1,three_sector,0,-5.83533,902.896,1978.67,1
745,33,tx-33,北门东侧马路-西,2,three_sector,0,-5.83533,902.896,1978.67,1
746,33,tx-33,北门东侧马路-西,3,three_sector,0,-5.83533,902.896,1978.67,1
627,35,tx-35,北门东侧马路-偏国重,1,three_sector,0,366.611,761.907,1987.78,1
628,35,tx-35,北门东侧马路-偏国重,2,three_sector,0,366.611,761.907,1987.78,1
629,35,tx-35,北门东侧马路-偏国重,3,three_sector,0,366.611,761.907,1987.78,1
606,37,tx-37,学校东北角-南,1,three_sector,0,1105.33,678.84,2002.88,1
607,37,tx-37,学校东北角-南,2,three_sector,0,1105.33,678.84,2002.88,1
608,37,tx-37,学校东北角-南,3,three_sector,0,1105.33,678.84,2002.88,1
588,38,tx-38,学校东门对面,1,three_sector,0,1447.05,384.09,1978.78,1
589,38,tx-38,学校东门对面,2,three_sector,0,1447.05,384.09,1978.78,1
590,38,tx-38,学校东门对面,3,three_sector,0,1447.05,384.09,1978.78,1
717,39,tx-39,学校东南角-东,1,three_sector,0,1794.33,24.778,2023.38,1
718,39,tx-39,学校东南角-东,2,three_sector,0,1794.33,24.778,2023.38,1
719,39,tx-39,学校东南角-东,3,three_sector,0,1794.33,24.778,2023.38,1
720,41,tx-41,楠苑宿舍楼-西,1,three_sector,0,79.0692,-442.067,2005.64,1
721,41,tx-41,楠苑宿舍楼-西,2,three_sector,0,79.0692,-442.067,2005.64,1
722,41,tx-41,楠苑宿舍楼-西,3,three_sector,0,79.0692,-442.067,2005.64,1
