station_id,station_name,station_label,antenna_type,is_omnidirectional,tx_x_initial_m,tx_y_initial_m,tx_z_initial_m,pci_count,pcis
2,tx-2,图书馆-东北角,three_sector,0,-62.7873,-48.317,2009.28,3,699;700;701
3,tx-3,农学院,three_sector,0,220.957,-22.6014,2013.2,3,558;559;560
6,tx-6,桦苑-西,three_sector,0,-417.217,-420.524,1994.57,3,252;253;254
7,tx-7,图书馆-西南角,three_sector,0,-380.963,-177.432,1990.21,3,6;7;8
9,tx-9,诸子百家-西,three_sector,0,-731.812,76.9981,1989.89,3,741;742;743
10,tx-10,梓苑食堂后面,three_sector,0,-972.554,342.474,1987.55,3,489;490;491
11,tx-11,校史馆,three_sector,0,-382.4,627.376,1986.34,3,510;511;512
12,tx-12,明远楼,three_sector,0,85.5687,503.753,2020.15,3,555;556;557
13,tx-13,国重大楼,three_sector,0,436.867,428.861,2025.31,3,219;220;221
14,tx-14,校医院,three_sector,0,916.187,213.785,2010.49,3,477;478;479
15,tx-15,楸苑7宿舍-西,three_sector,0,856.239,-122.77,2019.91,3,531;532;533
16,tx-16,楸苑,three_sector,0,540.712,-230.001,2005.25,3,237;238;239
18,tx-18,食堂-西,three_sector,0,253.779,-328.187,2009.19,3,495;496;497
20,tx-20,软件学院,three_sector,0,512.655,144.529,2028.89,3,792;793;794
22,tx-22,化工学院-西,omnidirectional,1,688.004,250.823,2029.42,1,800
23,tx-23,梓苑食堂-南,three_sector,0,-708.457,420.289,1989.54,3,663;664;665
25,tx-25,西南角,three_sector,0,-405.485,-944.095,1986.02,3,492;493;494
26,tx-26,楠苑-后大路,three_sector,0,-601.935,-426.487,1982.05,3,37;38;180
27,tx-27,学校西北角,three_sector,0,-1284.87,548.908,1987.37,3,705;706;707
30,tx-30,北门地铁马路-西,three_sector,0,-833.997,875.923,1976.43,3,612;613;614
31,tx-31,北门西侧马路-对面,three_sector,0,-417.807,1049.26,1978.78,3,759;760;761
33,tx-33,北门东侧马路-西,three_sector,0,-5.83533,902.896,1978.67,3,744;745;746
35,tx-35,北门东侧马路-偏国重,three_sector,0,366.611,761.907,1987.78,3,627;628;629
37,tx-37,学校东北角-南,three_sector,0,1105.33,678.84,2002.88,3,606;607;608
38,tx-38,学校东门对面,three_sector,0,1447.05,384.09,1978.78,3,588;589;590
39,tx-39,学校东南角-东,three_sector,0,1794.33,24.778,2023.38,3,717;718;719
41,tx-41,楠苑宿舍楼-西,three_sector,0,79.0692,-442.067,2005.64,3,720;721;722
