"TIME","LATITUDE","LONGITUDE","SPEED(M/s)","ALT(M)","ACCURACY(M)","IS_OUTDOOR","X_POS","Y_POS","EVENT","EVENT_ID","TASK_TYPE","APP_DOWN(Mbps)","APP_UP(Mbps)","PING_DELAY(ms)","ISDATASLOT","NETWORK_TYPE","MCC","MNC","OPERATOR","NR5G TAC","NR5G NCI","NR5G gNodeB ID","NR5G Cell ID","NR5G CP Type","NR5G Duplex Mode","NR5G Numerology","NR5G Band","NR5G BandWidth DL","NR5G Bandwidth UL","NR5G SSB ARFCN DL","NR5G SSB ARFCN UL","NR5G PCI","NR5G Center ARFCN DL","NR5G Center ARFCN UL","NR5G SubCarrierSpacing","NR5G Absolute Frequency PointA","NR5G Init BWP Downlink Location Width","NR5G Init BWP Uplink Location Width","NR5G SSB Periodicity","NR5G RRC State","NR5G Connectivity Mode","NR5G Frequency Offset","NR5G Timing Offset","NR5G ServingCellIndex","NR5G Q_LEX_MIN","NR5G Pathloss DL","NR5G SS RSRP","NR5G SS RSRQ","NR5G SS SINR","NR5G SSB Beam Index","NR5G CellBarred","NR5G SubCarrierOffset","NR5G Serving GSCN","NR5G Carrier RSSI","NR5G Handover Target Arfcn","NR5G Handover Target PCI","NR5G SS RSRP Ant List","NR5G SS RSRQ Ant List","NR5G SS SINR Ant List","NR5G TRS SINR Ant List","NR5G SS RSSI Ant List","NR5G SSB Beam Index List","NR5G SSB Beam PCI List","NR5G SSB Beam RSRP List","NR5G SSB Beam RSRQ List","NR5G SSB Beam SINR List","NR5G ServingType List","NR5G Cells ARFCN List","NR5G Cells PCI List","NR5G Cells SSB Index List","NR5G Cells Band List","NR5G Cells BeamNum List","NR5G Cells RSRP List","NR5G Cells RSRQ List","NR5G Cells SINR List","NR5G MCS Avg DL","NR5G MCS Max DL","NR5G MCS Most DL","NR5G Modulation DL","NR5G Trans.Mode","NR5G DL QPSK Ratio(%)/s","NR5G DL 16QAM Ratio(%)/s","NR5G DL 64QAM Ratio(%)/s","NR5G DL 256QAM Ratio(%)/s","NR5G PDCP Tput DL(Mbps)","NR5G RLC Tput DL(Mbps)","NR5G MAC Tput Dl(Mbps)","NR5G PHY Tput DL(Mbps)","NR5G BLER DL","NR5G Layers Num DL","NR5G Rank DL","NR5G RB Num DL/slot","NR5G Pdsch Num RB/s","NR5G Grant Num DL/s","NR5G Pdsch TB Size/slot","NR5G TB0 Avg Size DL/s","NR5G TB1 Avg Size DL/s","NR5G CQI","NR5G MCS Avg UL","NR5G MCS Max UL","NR5G MCS Most UL","NR5G Modulation UL","NR5G Bler UL","NR5G Tx Mode UL","NR5G UL QPSK Ratio(%)/s","NR5G UL 16QAM Ratio(%)/s","NR5G UL 64QAM Ratio(%)/s","NR5G PDCP Tput UL(Mbps)","NR5G RLC Tput UL(Mbps)","NR5G MAC Tput UL(Mbps)","NR5G PHY Tput UL(Mbps)","NR5G Rank UL","NR5G RB Num UL/slot","NR5G Pusch Num RB/s","NR5G Grant Num UL/s","NR5G Pusch TB Size/s","NR5G MIMO","NR5G Rach Reason","NR5G C-RNTI","NR5G RACH Contention","NR5G PRACH Config","NR5G RACH Preamble Format","NR5G RACH LogicalRoot Index","NR5G RACH RA-RNTI","NR5G RACH Access Result","NR5G RACH T-RNTI","NR5G TA","NR5G Access Delay","NR5G PUSCH TxPower(dBm)","NR5G PUCCH TxPower(dBm)","NR5G PRACH TxPower(dBm)","NR5G DCI Format 0_0 Num/s","NR5G DCI Format 0_1 Num/s","NR5G DCI Format 0_2 Num/s","NR5G DCI Format 1_0 Num/s","NR5G DCI Format 1_1 Num/s","NR5G DCI Format 1_2 Num/s","NR5G DCI Format 2_0 Num/s","NR5G DCI Format 2_1 Num/s","NR5G DCI Format 2_2 Num/s","NR5G DCI Format 2_3 Num/s","NR5G DCI Format 0_0 AggLevel","NR5G DCI Format 0_1 AggLevel","NR5G DCI Format 1_0 AggLevel","NR5G DCI Format 1_1 AggLevel","NR5G DCI Format 2_0 AggLevel","NR5G DCI Format 2_1 AggLevel","NR5G DCI Format 2_2 AggLevel","NR5G DCI Format 2_3 AggLevel","NR5G MM State","NR5G MM Sub State","NR5G AMF Region ID","NR5G AMF SET ID","NR5G AMF Pointer","NR5G TMSI","NR5G Pusch Frame","NR5G Pusch Slot","NR5G Pusch SCS","NR5G Pusch TB Size/slot","NR5G Pusch TBIndex","NR5G Pusch Num RB/slot","NR5G Pusch BWP Id","NR5G Pusch TxPower","NR5G Pusch Actual TxPower","NR5G Pusch TxType","NR5G Pusch Carrier ID","NR5G Pusch HARQ ID","NR5G Pusch Modulation","NR5G Pusch Start RB","NR5G Pusch TPC","NR5G Pusch RNTI","NR5G Pdsch Frame","NR5G Pdsch Slot","NR5G Pdsch TB Index","NR5G Pdsch RNTI Type","NR5G Pdsch CRC Status","NR5G Pdsch NDI","NR5G Pdsch Modulation","NR5G Pdsch MCS","NR5G Pdsch Num RB/slot","NR5G Pdsch Num Layers","NR5G Pdsch Carrier ID","NR5G Pdsch HARQ ID","NR5G Pdsch SCS","NR5G Pdsch TxType","NR5G Pdsch BWP ID","NR5G Pdsch TB Size/s"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA4919EA,EC624327,E97D2DB1,9581D094,84B5E45B,73EA1822,B7198906,421ADD10,63B29582,52E6A949,A6E20666,A64DBCCD,747E61BB,B9FEBE7C,6603415F,314EF0D7,96163A2D,F5A6C7A9,49A224C7,8013B21A,45945C1F,34C86FE6,9866E60A,CACA8AB5,854A4DF4,DB9676EE,4ED8C0A1,3E0CF468,70709913,5FA4ACDA,FEEB4C2B,EE1F7FF2,FB73865,BBBBDB47,DD5393B9,280A6C55,5A6E1100,E3B2283E,8FB6CB21,7EEAFEE8,B14E8393,F88BFD1F,264CB3B,F198FF01,813C654C,B3A009F7,A2D43DBE,88C3CD03,77F7E0CA,AA5B8575,A932D243,998FB93C,5F104341,4E447708,80A81BB3,6FDC2F7A,EA11974A,23FC83AD,1330B774,D945AB11,5B027A99,8D661F44,7C9A330B,289ED5EE,17D2E9B5,B7ADF29F,C879DED8,1C753BF6,1BE0D25D,6BCE46D2,3D788ACF,2CACBE96,D8B14178,C30BB7F8,FD2E2F60,9D6616DE,455CD119,3490E4E0,C7E5753F,5E7BF9A8,BF355A56,AE696E1D,41867377,C34322FE,6F47C5E1,D0959028,BFC9A3EF,52525FB0,9E31EB7D,AEFDD7B6,2F934D4,B14E624,A1AB6A8C,D40F0F37,CBBBD2E1,DFA1B9A,DC87BF1A,173E801C,4A368E60,396AA227,E56F4509,D4A378D0,7071D7C,F63B3142,A23FD425,9173E7EC,C3D78C97,B30BA05E,788C4A63,8958369C,2490ED46,4628A5B8,D001268F,7C05C972,6B39FD39,9D9D81E4,8CD1B5AB,1F5A516C,E8E6533,40F209DE,30263DA5,DC2AC087,5DE4A4A,F5127E10,277602BC,16AA3683,C2AED965,B1E2ED2C,E44691D7,D37AA59E,A54A5D28,947E70EF,C6E2159A,B6162961,621ACC44,514EE00B,954A458E,847E7955,B6E21E00,A61631C7,521AD4AA,414EE871,73B28D1C,62E6A0E3,EEB43C6,FE1F778C,30831C38,1FB72FFF,BAEFE6A8,ED538B53,A208491F,913C7CE6,7BCE5E6C,6B027233,8C9A2AA5,389ECD88,27D2E14F,5A3685FA,496AB9C1,F56F5CA3,E4A3706A,17071516,63B28DD,B23FCBBF,A173FF86,D3D78431,888C41FD,5628BD52,
20260725 15:29:16.027,24.830945,102.840464,13.00,1935,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6879514665,1679569,41,Normal,-,1,41,-,-,504990,-,489,-,-,30kHz,-,-,-,ms20,-,SA,-0.6,1,3,-,91,-67.2,-10.6,17.6,6,-,-,6312,-29.5,-,-,-70.2;-64.2;-72;-73.3,-,23.5;14.4;255;255,32.5;30.6;255;255,-34.3;-29.5,0;4;7;6;4;5;0,829;945;490;489;489;489;489,-75.2;-79.1;-77.5;-69.1;-67.3;-66.6;-71,-15.8;-19.6;-14.1;-10.8;-10.4;-10.4;-11.2,255;255;255;255;255;255;255,1;0;0;0,504990;504990;504990;504990,489;829;945;490,6;0;4;7,-,4;1;1;1,-67.2;-76.8;-77;-77.5,-10.6;-16.2;-19.4;-14.6,17.6;255;255;255,1.6,7,0,QPSK,-,77.8,22.2,0,0,0.04,0.04,0.01,0.01,0,2,Rank 1,31,280,3,42,-,42,9,24.9,25,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.00,0.23,Rank 2,4,124,23,-,2 x 2,-,22461,-,-,-,-,-,-,-,-,-,-2,-5,-,-,23,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,132,8,30kHz,992,-,4,1,-,-,New trans.,0,0,256QAM,64,1,22461,127,5,0,0,Pass,1,QPSK,0,16,2,0,15,30kHz,Re trans.,-,3852,
20260725 15:29:17.041,24.830932,102.840425,15.05,1935,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6879514665,1679569,41,Normal,-,1,41,-,-,504990,-,489,-,-,30kHz,-,-,-,ms20,-,SA,-0.6,1,3,-,93,-67.1,-10.5,20.6,6,-,-,6312,-30.8,-,-,-68.5;-64.9;-68.4;-71.9,-,19.5;7.2;255;255,29.9;30.5;255;255,-33;-30.8,0;5;7;6;5;4;3,829;945;490;489;489;489;489,-101.4;-80.8;-75.2;-69.8;-66;-67.4;-72.7,-27.2;-21.7;-14.3;-10.6;-10.4;-10.4;-10.5,255;255;255;255;255;255;255,1;0;0;0,504990;504990;504990;504990,489;945;490;829,6;5;7;0,-,4;1;1;1,-67.1;-75.6;-75.6;-86.9,-10.5;-20.4;-14.4;-22.1,20.6;255;255;255,2,9,0,QPSK,-,81.8,18.2,0,0,0.00,0.00,0.02,0.02,0,2,Rank 1,28,624,19,42,-,42,9,24.7,25,25,256QAM,0,SMDL,0,0,0,0.01,0.01,0.01,0.59,Rank 2,4,316,97,-,2 x 2,-,22461,-,-,-,-,-,-,-,-,-,0,-6,-,-,97,-,1,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,206,18,30kHz,992,-,4,1,-,-,New trans.,0,0,256QAM,28,1,22461,230,11,0,0,Pass,1,QPSK,2,16,2,0,15,30kHz,Re trans.,-,9505,
20260725 15:29:18.053,24.830928,102.840384,14.15,1934,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6879514665,1679569,41,Normal,-,1,41,-,-,504990,-,489,-,-,30kHz,-,-,-,ms20,-,SA,-0.6,2,3,-,80,-58.3,-10.4,21.8,0,-,-,6312,-21.3,-,-,-64.9;-56.8;-73.2;-59.9,-,21.1;21.9;255;255,28.4;24.9;255;255,-28.5;-21.3,1;0;7;0;4;5;3,829;945;490;489;489;489;489,-89.2;-67.8;-71.6;-57.4;-62.9;-62.2;-68.7,-17.9;-19.2;-12.1;-10.4;-10.3;-10.4;-10.4,255;255;255;255;255;255;255,1;0;0;0,504990;504990;504990;504990,489;945;490;829,0;0;7;1,-,4;1;1;1,-58.3;-67.6;-71.6;-89.2,-10.4;-19.2;-12.1;-17.9,21.8;255;255;255,1.8,8,0,QPSK,-,87.5,12.5,0,0,0.05,0.05,0.06,0.06,0,1,Rank 1,24,192,11,42,-,42,9,24.8,31,25,256QAM,0,SMDL,0,0,0,0.01,0.01,0.01,0.50,Rank 2,4,272,72,-,2 x 2,-,22461,-,-,-,-,-,-,-,-,-,-2,-14,-,-,72,-,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,335,9,30kHz,992,-,4,1,-,-,New trans.,0,0,256QAM,32,1,22461,330,4,0,0,Pass,0,QPSK,0,16,2,0,15,30kHz,Re trans.,-,1927,
20260725 15:29:19.064,24.830929,102.840344,14.29,1934,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6879514665,1679569,41,Normal,-,1,41,-,-,504990,-,489,-,-,30kHz,-,-,-,ms20,-,SA,-0.6,2,3,-,80,-57.8,-10.4,18.7,0,-,-,6312,-24,-,-,-60.1;-61.1;-56.7;-65.6,-,20.6;11.3;255;255,25.7;28.4;255;255,-24;-24.9,1;0;7;0;5;4;6,829;945;490;489;489;489;489,-89.6;-66.9;-73.8;-57.5;-57.8;-58.1;-64.5,-19.6;-19.6;-14.3;-10.4;-10.4;-10.4;-10.4,255;255;255;255;255;255;255,1;0;0;0,504990;504990;504990;504990,489;945;490;829,0;0;7;1,-,4;1;1;1,-57.8;-67.7;-73.9;-89.6,-10.4;-20.6;-14.2;-19.6,18.7;255;255;255,1.1,5,0,QPSK,-,88.9,11.1,0,0,0.01,0.01,0.02,0.02,0,1,Rank 1,16,152,9,69,-,69,9,24.2,25,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.01,0.38,Rank 2,4,212,49,-,2 x 2,-,22461,-,-,-,-,-,-,-,-,-,-9,-15,-,-,49,-,2,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,437,9,30kHz,944,-,4,1,-,-,New trans.,0,0,256QAM,40,1,22461,437,3,0,0,Pass,1,QPSK,0,16,1,0,15,30kHz,Re trans.,-,774,
20260725 15:29:20.074,24.830941,102.840302,15.30,1934,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6879514665,1679569,41,Normal,-,1,41,-,-,504990,-,489,-,-,30kHz,-,-,-,ms20,-,SA,-0.6,3,3,-,85,-60.8,-10.4,29,5,-,-,6312,-19.6,-,-,-55.3;-70.6;-94.2;-58.3,-,26.3;25.4;255;255,36.7;31.3;255;255,-19.6;-37.6,1;0;7;5;4;0;3,829;945;490;489;489;489;489,-91.5;-72.2;-76.1;-60.3;-60;-62.3;-67.7,-19.6;-20.2;-15.9;-10.3;-10.3;-10.5;-10.4,255;255;255;255;255;255;255,1;0;0;0,504990;504990;504990;504990,489;945;490;829,5;0;7;1,-,4;1;1;1,-60.8;-72;-76.8;-91.5,-10.4;-20;-16.8;-19.6,29;255;255;255,1.1,5,0,QPSK,-,88.9,11.1,0,0,0.00,0.00,0.00,0.00,0,1,Rank 1,16,152,9,42,-,42,9,24.9,31,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.00,0.20,Rank 2,4,108,49,-,2 x 2,-,22461,-,-,-,-,-,-,-,-,-,-3,-3,-,-,49,-,2,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,528,8,30kHz,800,-,4,1,-,-,New trans.,0,0,256QAM,40,0,22461,523,3,0,0,Pass,0,QPSK,0,16,2,0,15,30kHz,Re trans.,-,774,
20260725 15:29:21.084,24.830966,102.840264,17.46,1934,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6879514665,1679569,41,Normal,-,1,41,100,100,504990,-,489,513000,513000,30kHz,-,-,-,ms20,Connected,SA,-0.6,4,3,-,85,-62.8,-10.5,23.1,5,-,-,6312,-29.4,-,-,-60.6;-68.3;-93.3;-66.7,-,23.1;21.3;255;255,34.3;32;255;255,-29.4;-32.9,0;3;7;5;4;3;0,829;945;490;489;489;489;489,-97.2;-75.3;-75;-62.5;-61;-66.5;-68.2,-24.8;-19.8;-17.2;-10.4;-10.5;-10.6;-10.8,255;255;255;255;255;255;255,1;0;0;0,504990;504990;504990;504990,489;945;490;829,5;3;7;0,-,4;1;1;1,-62.8;-74.5;-76.1;-83.2,-10.5;-20.1;-18;-18.1,23.1;255;255;255,0,0,0,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,1,Rank 1,16,100,5,14,-,14,15,23.1,25,25,256QAM,0,SMDL,0,0,2.7,0.00,0.00,0.01,0.26,Rank 2,4,148,44,-,2 x 2,-,22461,-,-,-,-,-,-,-,-,-,-6,-7,-,-,44,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,628,18,30kHz,992,-,4,1,-,-,New trans.,0,0,256QAM,60,1,22461,641,15,0,4,Pass,0,QPSK,0,20,1,0,0,30kHz,Re trans.,-,262,
20260725 15:29:22.090,24.830999,102.840233,18.25,1934,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6879514665,1679569,41,Normal,-,1,41,100,100,504990,-,489,513000,513000,30kHz,-,-,-,ms20,Connected,SA,-0.6,3,3,-,85,-60,-10.5,22.4,5,-,-,6312,-23.6,-,-,-58.8;-67.7;-100.5;-67.2,-,22.4;21.9;255;255,29.9;28.4;255;255,-23.6;-32.4,1;0;7;5;0;4;3;2,829;945;490;489;489;489;489;491,-80.7;-68;-71.6;-61.4;-58.4;-61.8;-68.1;-133,-17.4;-20.1;-11.7;-10.5;-10.4;-10.4;-10.8;-35.1,255;255;255;255;255;255;255;255,1;0;0;0;0,504990;504990;504990;504990;504990,489;945;490;829;491,5;0;7;1;2,-,4;1;1;1;1,-60;-69.1;-73;-79.6;-133,-10.5;-20;-13.7;-17.4;-35.1,22.4;255;255;255;255,1.2,5,0,QPSK,-,100,0,0,0,0.00,0.00,0.00,0.00,0,2,Rank 1,16,152,9,106,-,106,9,24.3,25,25,256QAM,0,SMDL,0,0,0,0.00,0.00,0.00,0.40,Rank 2,4,220,57,-,2 x 2,-,22461,-,-,-,-,-,-,-,-,-,-7,-21,-,-,57,-,2,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,738,18,30kHz,736,-,4,1,-,-,New trans.,0,0,64QAM,72,1,22461,736,3,0,0,Pass,1,QPSK,2,16,2,0,15,30kHz,Re trans.,-,894,
20260725 15:29:23.097,24.831035,102.840202,18.65,1934,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6879514665,1679569,41,Normal,-,1,41,100,100,504990,-,489,513000,513000,30kHz,-,-,-,ms20,Connected,SA,-0.6,4,0,-,88,-63.2,-10.5,21.1,5,-,-,6312,-31.4,-,-,-70.5;-67.6;-94.4;-71.3,-,9.2;13;255;255,33.9;34;255;255,-31.4;-36.6,5;0;4;7;0;6,489;489;489;489;945;490,-64.5;-63.2;-63.1;-67.4;-75.8;-72,-10.4;-10.6;-10.4;-11.5;-20.6;-14.7,255;255;255;255;255;255,1;0;0,504990;504990;504990,489;490;945,5;6;0,-,4;1;1,-63.2;-71.4;-75.8,-10.5;-14;-20.1,21.1;255;255,4.2,19,2,QPSK,-,72.7,18.2,9.1,0,0.00,0.05,0.09,0.09,0,2,Rank 1,22,500,23,42,-,42,9,21.1,31,20,256QAM,0,SMDL,0,0,33.7,0.03,0.04,0.00,0.56,Rank 2,4,368,91,-,2 x 2,-,22461,-,-,-,-,-,-,-,-,-,-7,-19,-,-,91,-,1,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,838,18,30kHz,992,-,4,1,-,-,New trans.,0,0,256QAM,92,1,22461,839,3,0,0,Pass,1,QPSK,0,16,2,0,15,30kHz,Re trans.,-,11090,
20260725 15:29:24.108,24.831078,102.840177,19.19,1934,3,1,0.00,0.00,,,,,,,1,SA,460,00,中国移动,4456484,6879514665,1679569,41,Normal,-,1,41,100,100,504990,-,489,513000,513000,30kHz,-,-,-,ms20,Connected,SA,-0.6,4,0,-,89,-65.6,-11.3,17.6,5,-,-,6312,-27.3,-,-,-65.6;-70.2;-100.1;-73.3,-,14.3;13.6;255;255,28.3;34.3;255;255,-27.3;-31.5,5;0;7;6;3;6,489;489;489;489;945;490,-68;-66.2;-65.6;-65.7;-82.8;-69.8,-10.6;-11.1;-11.8;-11.7;-20.1;-15.8,255;255;255;255;255;255,1;0;0,504990;504990;504990,489;490;945,5;6;3,-,4;1;1,-65.6;-70;-82.8,-11.3;-15.8;-20.1,17.6;255;255,0.5,1,1,QPSK,-,100,0,0,0,0.00,0.01,0.00,0.00,0,1,Rank 1,16,64,3,34,-,34,9,24.4,25,25,256QAM,0,SMDL,0,0,3.3,0.00,0.00,0.04,0.22,Rank 2,4,120,35,-,2 x 2,-,22461,-,-,-,-,-,-,-,-,-,-9,-15,-,-,35,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,939,19,30kHz,800,-,4,1,-,-,New trans.,0,0,256QAM,16,1,22461,939,3,0,0,Pass,0,QPSK,1,16,1,0,15,30kHz,Re trans.,-,179,
